sparse_categorical_accuracy,sparse_top_k_categorical_accuracy,running_time,parameters,loss,power_draw,time_total,software,n_samples,batch_size,datadir,task,seconds,nogpu,architecture,dataset,model,externally_measured,diff,rel_diff
0.7160000205039978,0.8954285979270935,0.0166367176635716,5330571.0,1.2672804594039917,1.28252391363288,116.45702364500175,Tensorflow 2.17.0,7000.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB0,2.5714285714285716,1.2889046577956915,0.50124070025388
0.7554177641868591,0.9204415678977966,0.0009794486945505,7856239.0,1.059691071510315,0.1901610254713246,130.16481371099508,Tensorflow 2.17.0,132896.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB1,0.24379966289429325,0.05363863742296865,0.22001112219021118
0.757415235042572,0.9209745526313782,0.0251034217565683,7856239.0,1.0594371557235718,1.986758726441415,118.48815069100236,Tensorflow 2.17.0,4720.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB1,3.8135593220338984,1.8268005955924833,0.47902771173314007
0.7714080810546875,0.9315487146377563,0.0010753317790153,9177569.0,1.002656102180481,0.218014179326066,149.83673008800542,Tensorflow 2.17.0,139340.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB2,0.2841969283766327,0.06618274905056667,0.2328763700178273
0.776289165019989,0.9314964413642884,0.0301859422613755,9177569.0,1.0111384391784668,2.38492026107363,119.4155875860015,Tensorflow 2.17.0,3956.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB2,3.640040444893742,1.2551201838201118,0.34480940605503374
0.8015457987785339,0.9471181631088256,0.0013641241642627,12320535.0,0.8822564482688904,0.2869789224689886,94.95395482599996,Tensorflow 2.17.0,69608.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB3,0.36202735317779566,0.07504843070880707,0.20730044304677153
0.8027907013893127,0.9430232644081116,0.0228293293474416,12320535.0,0.8878684639930725,2.4096840558388744,98.1661161939992,Tensorflow 2.17.0,4300.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB3,3.3488372093023258,0.9391531534634514,0.28044156665922504
0.8209450840950012,0.9589735269546508,0.0020067386990074,19466823.0,0.8588065505027771,0.4627548216579794,96.65256269899692,Tensorflow 2.17.0,48164.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB4,0.5979569803172494,0.13520215865927004,0.22610683228003758
0.8248420357704163,0.959123194217682,0.0241944571783179,19466823.0,0.8605931997299194,7.127052557228317,122.52073115100212,Tensorflow 2.17.0,5064.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,1,13th Gen Intel(R) Core(TM) i9-13900K,ImageNet (ILSVRC 2012),EfficientNetB4,9.952606635071017,2.8255540778427006,0.283900909726102
0.8272650837898254,0.9619290232658386,0.0030746781793569,30562527.0,0.7905668020248413,0.8619755801508836,131.39944667300006,Tensorflow 2.17.0,42736.0,4.0,/data/d1/fischer_diss/imagenet,Inference,120,0,NVIDIA GeForce RTX 4090,ImageNet (ILSVRC 2012),EfficientNetB5,1.0950954698614752,0.2331198897105916,0.21287631638187696
